translation,ground_truth,generated,is_flawed
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अङ्कोलांश्च करञ्चांश्च प्लक्षन्यग्रोधतिन्दुकान् । जम्बुकामलकान्नापान्भजन्ति स्म प्लवङ्गमाः ।।  ,"<verse>
न्यग्रोधप्लक्षजम्ब्वाम्राम् अङ्कोलनीपपूजकाः ।
करञ्जं पूजयन्तो वै जग्मुः प्रीत्या प्लवङ्गमाः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तासां रामस्समुत्थाय जग्राह चरणान् शुभान्।मात्रूणां मनुजव्याघ्रस्सर्वासां सत्यसङ्गरः।। ,"<verse>
ततः स राघवः श्रीमान् सत्यसन्धो नरोत्तमः ।
प्रणम्य शिरसा पादौ मातॄणां समवन्दत ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", अद्य विप्रसरिष्यन्ति राक्षस्यो हतबान्धवाः।बाष्पार्द्रवदना दीना भयादन्यभयावहाः।। ,"<verse>
नष्टसर्वसुहृज्जनाः राक्षस्यो भयदायिकाः ।
प्रयास्यन्ति रुदत्यस्ताः बाष्पपूर्णमुखीकुलाः ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", किं नु तस्य मया कार्यं दुर्जातेन महात्मनः।यो मृतो मम शोकेन मया चापि न संस्कृतः।। ,"<verse>
मत्कृते दुःखतप्तस्य महात्मनः क्रिया मया ।
न कृता, मन्दभाग्यस्य किं मे जीवेन संप्रति ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", नमस्कृत्वा च रामाय लक्ष्मणाय च वीर्यवान्।सीतादर्शनसंहृष्टो हनुमान् संवृतोऽभवत्।। ,"<verse>
दृष्ट्वा सीतां कपिश्रेष्ठो हर्षितो हनुमानभूत् ।
मनसा रामलक्ष्मण्यौ प्रणम्य स कपिः स्थितः ॥ १ ॥
इत्यार्षे रामायणे काव्ये वाल्मीकीये महात्मनः ।
सर्गः सप्तदशः साङ्गो ह्यतीतः सुन्दरान्तरे ॥ २ ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", संञ्जातपरिशङ्कास्ते तद्बिलं प्लवगोत्तमाः।।अभ्यपद्यन्त संहृष्टास्तेजोवन्तो महाबलाः। ,"<verse>
दृष्ट्वा गुहां दुष्प्रवेशां हरीणां सा महाचमूः ।
तेजोयुक्ता च सा सेना भयं हर्षं च लेभिरे ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", स तस्मात्पादपाद्धीमानाप्लुत्य प्लवगर्षभः।ततो वर्धितुमारेभे सीताप्रत्ययकारणात्।। ,"<verse>
अवतीर्य द्रुमात्तस्माद्धनुमान् कपिसत्तमः ।
सीताविश्वासहेतोश्च वर्धयामास वै तनुम् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", कृतंहनुमताकार्यंयदन्यैर्दुष्करंरणे ।ऋक्षराजेनतुष्यामिगोलाङ्गूलाधिपेनच ।। ,"<verse>
ऋक्षराज महाभाग गोलाङ्गूलाधिपेश्वर ।
युष्मद्भिः कृतमत्युग्रं प्रीतोऽस्मि हनुमत्कृते ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", स राजा सुमहानासीदंशुमान् रघुनन्दन ।तस्य पुत्रो महानासीद्दिलीप इति विश्रुत:।। ,"<verse>
अंशुमान् स महाराज बभूव रघुनन्दन ।
दिलीपो नाम तस्यासीत् पुत्रो यशसि वीर्यवान् ॥
</verse>",False
" ""O Lion among kings, receive this payasam prepared by gods, conferring progeny, bestowing affluence and improving health.  ", तं यानं शीघ्रमारोप्य सभार्यं सपरिच्छदम्।यावज्जीवं विवास्योऽयमिति स्वानन्वशात्पिता।। ,"<verse>
ततः सभार्यमारोप्य वस्त्रैः सह रथं तदा ।
आदिदेश ततो दूतान् आजीवनं प्रवासितुम् ॥
</verse>",False
